user_id,mood_selected,message_text,stress_level,sleep_hours,work_pressure,social_support,energy_level,preferred_relief,sentiment_score,task1,task2,task3,task4
45,burned_out,I can't focus anymore and everything feels tiring.,1,4.0,10,9,7,guided_steps,0.37,5_min_meditation,stretch_body,mindfulness_exercise,drink_water
46,stressed,My deadlines are piling up and I can't relax.,3,6.0,2,4,8,quick_exercises,0.65,write_journal,short_walk,nature_break,mindfulness_exercise
47,overthinking,My brain won't switch off from constant thinking.,3,8.4,4,10,6,suggestions,0.92,5_min_meditation,gratitude_list,drink_water,drink_tea
48,burned_out,I have no energy left to deal with anything.,6,7.3,5,3,10,quotes,0.12,watch_funny_video,drink_tea,short_walk,nature_break
49,lonely,I wish someone understood how I feel.,1,8.5,2,1,1,light_humor,-0.95,digital_detox,gratitude_list,write_journal,deep_breathing
50,sad,Everything feels heavy and I just want to stay quiet.,8,5.2,8,2,3,quick_exercises,-0.17,deep_breathing,positive_affirmation,drink_water,digital_detox
51,anxious,I feel tense and uneasy for no clear reason.,1,5.2,9,3,8,suggestions,0.35,listen_music,stretch_body,drink_water,deep_breathing
52,lonely,I wish someone understood how I feel.,2,5.5,2,2,8,guided_steps,0.08,drink_tea,mindfulness_exercise,digital_detox,write_journal
53,anxious,I keep worrying about small things and can't focus.,9,8.7,2,10,6,quotes,-0.99,drink_water,call_friend,mindfulness_exercise,write_journal
54,angry,I feel tense and annoyed with everyone today.,4,4.1,2,8,10,light_humor,0.5,drink_tea,deep_breathing,5_min_meditation,listen_music
55,stressed,I feel pressure from work and my mind won't slow down.,9,8.8,5,5,6,suggestions,0.38,gratitude_list,short_walk,write_journal,nature_break
56,overthinking,My brain won't switch off from constant thinking.,3,3.9,7,9,5,suggestions,-0.9,drink_water,gratitude_list,digital_detox,short_walk
57,stressed,I feel pressure from work and my mind won't slow down.,10,3.6,9,6,8,suggestions,0.99,short_walk,mindfulness_exercise,stretch_body,nature_break
58,sad,I feel emotionally drained and down.,3,8.3,9,1,7,quotes,0.18,gratitude_list,stretch_body,listen_music,drink_tea
59,stressed,I have too many things to finish today and I feel overwhelmed.,6,4.9,5,10,6,quotes,0.38,mindfulness_exercise,call_friend,write_journal,nature_break
60,burned_out,I feel exhausted and mentally drained.,4,8.7,9,10,6,guided_steps,0.47,mindfulness_exercise,nature_break,listen_music,call_friend
61,overthinking,I can't stop thinking about past mistakes.,10,6.0,1,2,10,quotes,0.5,watch_funny_video,short_walk,deep_breathing,stretch_body
62,angry,I feel tense and annoyed with everyone today.,10,7.4,8,3,1,quotes,-0.93,call_friend,drink_water,positive_affirmation,write_journal
63,lonely,I wish someone understood how I feel.,4,9.0,3,9,4,quick_exercises,0.53,5_min_meditation,positive_affirmation,deep_breathing,listen_music
64,sad,I can't seem to shake this sadness.,7,6.9,7,2,10,quick_exercises,0.75,deep_breathing,listen_music,short_walk,gratitude_list
65,burned_out,I can't focus anymore and everything feels tiring.,8,5.4,6,8,4,quotes,0.42,nature_break,drink_water,deep_breathing,mindfulness_exercise
66,overthinking,My mind keeps replaying the same thoughts again and again.,1,6.3,3,5,10,light_humor,-0.96,digital_detox,listen_music,write_journal,stretch_body
67,sad,Everything feels heavy and I just want to stay quiet.,8,7.1,2,5,3,suggestions,-0.42,mindfulness_exercise,stretch_body,5_min_meditation,deep_breathing
68,lonely,I miss having meaningful conversations.,6,6.2,1,2,7,suggestions,-0.79,short_walk,drink_tea,stretch_body,listen_music
69,overthinking,I can't stop thinking about past mistakes.,7,5.6,4,10,7,quotes,0.73,stretch_body,mindfulness_exercise,short_walk,nature_break
70,sad,I can't seem to shake this sadness.,7,8.1,5,4,4,light_humor,0.66,deep_breathing,watch_funny_video,drink_tea,write_journal
71,angry,I'm really upset and it's hard to calm down.,1,7.7,8,4,4,quick_exercises,-0.49,deep_breathing,mindfulness_exercise,write_journal,nature_break
72,overthinking,I keep analyzing everything too much.,4,7.2,8,6,3,quotes,0.0,5_min_meditation,positive_affirmation,gratitude_list,call_friend
73,burned_out,I feel exhausted and mentally drained.,6,4.5,1,2,7,light_humor,1.0,gratitude_list,drink_tea,listen_music,write_journal
74,anxious,I keep worrying about small things and can't focus.,3,3.8,6,8,10,quick_exercises,-0.26,short_walk,drink_water,gratitude_list,positive_affirmation
75,sad,I can't seem to shake this sadness.,10,4.7,1,6,3,quotes,0.29,deep_breathing,mindfulness_exercise,digital_detox,short_walk
76,burned_out,I can't focus anymore and everything feels tiring.,1,4.9,8,9,9,quick_exercises,0.67,digital_detox,deep_breathing,call_friend,write_journal
77,burned_out,I have no energy left to deal with anything.,2,4.0,4,9,7,quotes,0.56,drink_water,positive_affirmation,digital_detox,drink_tea
78,sad,I can't seem to shake this sadness.,8,3.5,9,1,4,light_humor,-0.81,mindfulness_exercise,drink_tea,stretch_body,short_walk
79,burned_out,I have no energy left to deal with anything.,9,8.7,10,6,2,quotes,0.81,digital_detox,stretch_body,gratitude_list,5_min_meditation
80,overthinking,I can't stop thinking about past mistakes.,8,3.5,4,9,5,quick_exercises,0.57,positive_affirmation,5_min_meditation,write_journal,drink_tea
81,stressed,I have too many things to finish today and I feel overwhelmed.,4,7.0,8,6,4,suggestions,-0.11,nature_break,digital_detox,deep_breathing,gratitude_list
82,sad,I can't seem to shake this sadness.,1,5.1,7,8,8,light_humor,-0.31,stretch_body,deep_breathing,write_journal,short_walk
83,anxious,I keep worrying about small things and can't focus.,2,8.8,1,5,5,guided_steps,0.65,drink_water,mindfulness_exercise,gratitude_list,write_journal
84,stressed,I keep thinking about everything I have to do and it's exhausting.,2,7.1,6,6,7,quick_exercises,-0.22,drink_water,nature_break,drink_tea,gratitude_list
85,lonely,I wish someone understood how I feel.,6,7.3,9,10,9,quotes,0.87,nature_break,mindfulness_exercise,call_friend,5_min_meditation
86,anxious,I keep worrying about small things and can't focus.,10,5.1,10,6,10,light_humor,-0.21,short_walk,drink_tea,nature_break,watch_funny_video
87,burned_out,I feel completely burned out from work and responsibilities.,1,8.2,6,3,5,suggestions,-0.58,drink_tea,stretch_body,nature_break,write_journal
88,sad,I feel really low today and don't have motivation.,7,3.9,3,6,3,quotes,0.57,mindfulness_exercise,5_min_meditation,watch_funny_video,digital_detox
89,angry,I feel frustrated and irritated about what happened.,1,5.2,6,6,3,suggestions,0.21,drink_water,digital_detox,short_walk,positive_affirmation
90,lonely,I feel isolated even when people are around.,2,7.6,8,6,1,light_humor,-0.02,mindfulness_exercise,positive_affirmation,call_friend,watch_funny_video
91,anxious,I feel tense and uneasy for no clear reason.,4,5.5,1,6,6,quotes,0.93,write_journal,mindfulness_exercise,positive_affirmation,stretch_body
92,lonely,I feel isolated even when people are around.,6,3.5,8,1,1,quick_exercises,0.6,drink_tea,call_friend,drink_water,positive_affirmation
93,anxious,I feel tense and uneasy for no clear reason.,1,5.0,8,6,2,suggestions,-0.89,stretch_body,drink_tea,write_journal,short_walk
94,anxious,My heart is racing and I can't calm down.,2,3.3,5,4,8,quick_exercises,-0.11,call_friend,positive_affirmation,drink_water,watch_funny_video
95,stressed,I keep thinking about everything I have to do and it's exhausting.,7,3.9,10,10,6,quotes,-0.31,watch_funny_video,mindfulness_exercise,stretch_body,gratitude_list
96,stressed,I have too many things to finish today and I feel overwhelmed.,10,4.9,5,3,1,quotes,-0.5,deep_breathing,digital_detox,5_min_meditation,stretch_body
97,lonely,I feel isolated even when people are around.,6,4.2,6,7,8,light_humor,-0.12,positive_affirmation,drink_tea,listen_music,watch_funny_video
98,burned_out,I can't focus anymore and everything feels tiring.,10,8.2,6,1,10,guided_steps,0.59,gratitude_list,deep_breathing,5_min_meditation,call_friend
99,stressed,My deadlines are piling up and I can't relax.,10,5.7,3,6,3,guided_steps,0.39,drink_tea,positive_affirmation,5_min_meditation,deep_breathing
100,sad,I feel really low today and don't have motivation.,8,8.6,2,7,9,suggestions,0.95,stretch_body,drink_water,listen_music,watch_funny_video
101,anxious,I keep worrying about small things and can't focus.,6,3.7,4,5,4,quick_exercises,0.1,watch_funny_video,mindfulness_exercise,listen_music,positive_affirmation
102,overthinking,My brain won't switch off from constant thinking.,1,3.8,8,9,5,quick_exercises,0.92,stretch_body,nature_break,deep_breathing,write_journal
103,sad,I can't seem to shake this sadness.,5,5.9,3,1,9,quick_exercises,0.68,gratitude_list,drink_tea,nature_break,short_walk
104,anxious,I feel tense and uneasy for no clear reason.,5,4.9,9,4,7,light_humor,0.34,deep_breathing,listen_music,positive_affirmation,mindfulness_exercise
105,overthinking,I keep analyzing everything too much.,8,6.7,9,9,4,quotes,-0.04,digital_detox,listen_music,drink_water,deep_breathing
106,anxious,I keep worrying about small things and can't focus.,2,5.3,7,4,4,light_humor,0.15,gratitude_list,deep_breathing,watch_funny_video,stretch_body
107,lonely,I feel isolated even when people are around.,4,5.0,6,8,10,suggestions,-0.56,5_min_meditation,listen_music,watch_funny_video,call_friend
108,stressed,I keep thinking about everything I have to do and it's exhausting.,10,7.5,2,1,7,guided_steps,-0.72,mindfulness_exercise,call_friend,watch_funny_video,stretch_body
109,anxious,I keep worrying about small things and can't focus.,7,3.1,9,1,10,light_humor,0.74,call_friend,5_min_meditation,write_journal,nature_break
110,anxious,I feel nervous about what might happen later today.,10,8.3,4,9,4,quotes,0.78,stretch_body,drink_tea,watch_funny_video,positive_affirmation
111,overthinking,My mind keeps replaying the same thoughts again and again.,1,7.4,1,9,5,quotes,0.5,digital_detox,mindfulness_exercise,positive_affirmation,write_journal
112,overthinking,I can't stop thinking about past mistakes.,2,4.5,7,3,2,suggestions,-0.84,call_friend,listen_music,digital_detox,watch_funny_video
113,lonely,I miss having meaningful conversations.,1,5.2,5,9,9,light_humor,-0.37,mindfulness_exercise,listen_music,deep_breathing,watch_funny_video
114,anxious,I feel tense and uneasy for no clear reason.,5,5.7,5,4,6,light_humor,0.7,write_journal,listen_music,5_min_meditation,gratitude_list
115,overthinking,I can't stop thinking about past mistakes.,1,7.3,2,4,2,quotes,0.92,drink_water,digital_detox,short_walk,nature_break
116,angry,I feel frustrated and irritated about what happened.,8,5.2,8,5,10,suggestions,0.68,watch_funny_video,positive_affirmation,stretch_body,digital_detox
117,angry,I'm really upset and it's hard to calm down.,10,8.3,3,9,4,quick_exercises,0.6,mindfulness_exercise,listen_music,stretch_body,call_friend
118,stressed,I have too many things to finish today and I feel overwhelmed.,3,4.4,1,9,4,quick_exercises,-0.48,watch_funny_video,deep_breathing,gratitude_list,nature_break
119,overthinking,I keep analyzing everything too much.,6,7.7,7,4,9,suggestions,0.45,positive_affirmation,short_walk,stretch_body,mindfulness_exercise
120,overthinking,I can't stop thinking about past mistakes.,3,4.1,3,10,9,quotes,0.56,positive_affirmation,mindfulness_exercise,stretch_body,digital_detox
121,anxious,I feel nervous about what might happen later today.,10,3.7,2,7,1,light_humor,0.44,deep_breathing,write_journal,watch_funny_video,short_walk
122,anxious,I feel nervous about what might happen later today.,3,3.8,5,5,3,guided_steps,0.6,drink_water,nature_break,digital_detox,write_journal
123,anxious,I keep worrying about small things and can't focus.,5,4.0,1,8,7,suggestions,0.24,positive_affirmation,gratitude_list,mindfulness_exercise,nature_break
124,overthinking,My mind keeps replaying the same thoughts again and again.,4,3.8,5,1,1,quotes,0.23,watch_funny_video,stretch_body,positive_affirmation,nature_break
125,angry,I can't stop thinking about something that made me angry.,9,4.5,4,2,7,guided_steps,-0.91,drink_water,listen_music,stretch_body,short_walk
126,angry,I feel tense and annoyed with everyone today.,5,5.9,9,2,8,light_humor,0.22,positive_affirmation,mindfulness_exercise,stretch_body,gratitude_list
127,angry,I'm really upset and it's hard to calm down.,10,5.4,8,8,3,quick_exercises,0.98,mindfulness_exercise,drink_tea,nature_break,watch_funny_video
128,angry,I'm really upset and it's hard to calm down.,8,3.3,1,6,6,light_humor,-0.25,drink_water,digital_detox,stretch_body,mindfulness_exercise
129,stressed,My deadlines are piling up and I can't relax.,10,8.2,4,8,6,guided_steps,0.25,call_friend,short_walk,watch_funny_video,digital_detox
130,overthinking,My mind keeps replaying the same thoughts again and again.,6,8.7,8,10,4,quick_exercises,0.55,deep_breathing,gratitude_list,listen_music,nature_break
131,stressed,I feel pressure from work and my mind won't slow down.,1,6.2,3,6,6,light_humor,0.77,mindfulness_exercise,digital_detox,gratitude_list,write_journal
132,sad,I can't seem to shake this sadness.,9,7.2,6,6,6,quick_exercises,-0.01,stretch_body,deep_breathing,gratitude_list,call_friend
133,anxious,I feel nervous about what might happen later today.,3,5.6,5,3,4,suggestions,-0.55,stretch_body,listen_music,nature_break,mindfulness_exercise
134,burned_out,I have no energy left to deal with anything.,10,3.4,2,9,9,guided_steps,-0.46,mindfulness_exercise,5_min_meditation,listen_music,gratitude_list
135,angry,I feel frustrated and irritated about what happened.,3,3.2,8,4,2,guided_steps,-0.91,deep_breathing,digital_detox,watch_funny_video,short_walk
136,lonely,I feel isolated even when people are around.,7,8.6,2,9,9,guided_steps,-0.12,drink_tea,drink_water,call_friend,positive_affirmation
137,stressed,I keep thinking about everything I have to do and it's exhausting.,7,7.7,10,9,9,guided_steps,0.95,5_min_meditation,digital_detox,listen_music,mindfulness_exercise
138,angry,I can't stop thinking about something that made me angry.,2,7.2,7,9,2,light_humor,0.12,call_friend,stretch_body,watch_funny_video,deep_breathing
139,sad,I feel emotionally drained and down.,7,6.8,10,9,6,light_humor,-0.92,nature_break,gratitude_list,mindfulness_exercise,positive_affirmation
140,lonely,I wish someone understood how I feel.,9,8.2,3,6,6,guided_steps,0.33,gratitude_list,positive_affirmation,short_walk,digital_detox
141,overthinking,I can't stop thinking about past mistakes.,6,3.8,7,8,1,quotes,-0.91,short_walk,stretch_body,digital_detox,5_min_meditation
142,lonely,I feel isolated even when people are around.,9,6.9,6,7,5,suggestions,-0.57,write_journal,short_walk,5_min_meditation,drink_water
143,angry,I feel frustrated and irritated about what happened.,10,6.9,8,3,2,light_humor,-0.53,mindfulness_exercise,nature_break,digital_detox,5_min_meditation
144,angry,I'm really upset and it's hard to calm down.,8,8.0,4,6,4,light_humor,-0.81,5_min_meditation,write_journal,listen_music,mindfulness_exercise
145,angry,I can't stop thinking about something that made me angry.,7,4.9,9,3,5,quick_exercises,-0.37,drink_tea,drink_water,nature_break,gratitude_list
146,anxious,I keep worrying about small things and can't focus.,2,4.9,8,7,6,light_humor,0.51,drink_tea,gratitude_list,stretch_body,positive_affirmation
147,angry,I'm really upset and it's hard to calm down.,10,7.4,9,3,9,suggestions,-0.71,write_journal,5_min_meditation,digital_detox,listen_music
148,angry,I can't stop thinking about something that made me angry.,6,8.6,4,3,5,guided_steps,0.43,digital_detox,call_friend,write_journal,listen_music
149,lonely,I feel like I don't have anyone to talk to today.,9,6.3,1,5,3,quick_exercises,-0.17,digital_detox,write_journal,positive_affirmation,listen_music
150,overthinking,I keep analyzing everything too much.,1,4.4,3,4,5,light_humor,0.7,5_min_meditation,deep_breathing,positive_affirmation,short_walk
151,lonely,I wish someone understood how I feel.,10,5.8,8,7,3,quotes,-0.65,gratitude_list,watch_funny_video,nature_break,positive_affirmation
152,angry,I feel frustrated and irritated about what happened.,7,5.2,10,5,9,suggestions,0.29,positive_affirmation,5_min_meditation,mindfulness_exercise,short_walk
153,overthinking,I can't stop thinking about past mistakes.,10,6.4,3,1,6,suggestions,-0.81,call_friend,deep_breathing,watch_funny_video,gratitude_list
154,sad,I feel really low today and don't have motivation.,7,8.1,6,5,2,light_humor,-0.94,watch_funny_video,digital_detox,positive_affirmation,gratitude_list
155,anxious,I keep worrying about small things and can't focus.,1,4.6,3,6,7,quick_exercises,0.15,stretch_body,gratitude_list,mindfulness_exercise,digital_detox
156,burned_out,I feel completely burned out from work and responsibilities.,3,3.8,6,1,2,quotes,0.78,drink_water,stretch_body,drink_tea,positive_affirmation
157,lonely,I miss having meaningful conversations.,8,5.3,5,1,10,light_humor,0.55,short_walk,call_friend,drink_water,gratitude_list
158,stressed,I keep thinking about everything I have to do and it's exhausting.,3,4.6,8,1,6,quick_exercises,-0.94,nature_break,deep_breathing,write_journal,watch_funny_video
159,lonely,I wish someone understood how I feel.,5,6.4,9,10,9,quotes,-0.97,watch_funny_video,digital_detox,drink_water,listen_music
160,burned_out,I have no energy left to deal with anything.,3,4.8,1,3,7,quotes,0.15,deep_breathing,write_journal,stretch_body,gratitude_list
161,overthinking,My brain won't switch off from constant thinking.,3,3.1,7,4,6,quick_exercises,-0.15,digital_detox,listen_music,positive_affirmation,gratitude_list
162,angry,I feel frustrated and irritated about what happened.,6,3.9,1,10,5,suggestions,0.95,gratitude_list,digital_detox,write_journal,nature_break
163,burned_out,I can't focus anymore and everything feels tiring.,1,6.8,2,2,2,quotes,0.77,call_friend,nature_break,mindfulness_exercise,short_walk
164,overthinking,I can't stop thinking about past mistakes.,7,3.1,1,1,1,quick_exercises,0.37,listen_music,5_min_meditation,deep_breathing,mindfulness_exercise
165,lonely,I wish someone understood how I feel.,4,5.1,1,2,6,suggestions,0.99,positive_affirmation,drink_water,watch_funny_video,deep_breathing
166,sad,I feel emotionally drained and down.,7,8.1,4,5,10,suggestions,0.98,5_min_meditation,short_walk,positive_affirmation,write_journal
167,lonely,I wish someone understood how I feel.,1,6.6,10,2,4,quick_exercises,0.4,5_min_meditation,short_walk,digital_detox,nature_break
168,lonely,I miss having meaningful conversations.,10,4.2,10,6,4,guided_steps,0.13,mindfulness_exercise,stretch_body,watch_funny_video,drink_water
169,sad,Everything feels heavy and I just want to stay quiet.,5,6.5,6,10,7,light_humor,0.75,nature_break,write_journal,5_min_meditation,digital_detox
170,overthinking,My brain won't switch off from constant thinking.,2,3.3,6,6,1,light_humor,0.42,gratitude_list,5_min_meditation,listen_music,write_journal
171,burned_out,I have no energy left to deal with anything.,4,8.8,9,7,1,light_humor,-0.22,call_friend,gratitude_list,deep_breathing,5_min_meditation
172,anxious,I keep worrying about small things and can't focus.,6,4.7,5,6,3,quick_exercises,0.45,positive_affirmation,mindfulness_exercise,call_friend,drink_tea
173,burned_out,I feel completely burned out from work and responsibilities.,9,7.0,8,3,2,quotes,0.86,call_friend,5_min_meditation,short_walk,deep_breathing
174,lonely,I feel isolated even when people are around.,1,6.7,7,5,4,guided_steps,0.85,digital_detox,deep_breathing,watch_funny_video,drink_tea
175,sad,I can't seem to shake this sadness.,7,4.4,5,3,4,guided_steps,0.9,digital_detox,deep_breathing,drink_tea,nature_break
176,angry,I feel tense and annoyed with everyone today.,8,5.2,10,5,7,guided_steps,-0.44,mindfulness_exercise,listen_music,digital_detox,stretch_body
177,burned_out,I feel completely burned out from work and responsibilities.,8,5.7,8,10,3,guided_steps,0.48,positive_affirmation,deep_breathing,drink_water,write_journal
178,stressed,I keep thinking about everything I have to do and it's exhausting.,5,7.4,9,9,3,light_humor,0.46,short_walk,drink_tea,drink_water,deep_breathing
179,lonely,I miss having meaningful conversations.,8,8.3,5,3,8,suggestions,0.4,drink_water,nature_break,digital_detox,gratitude_list
180,burned_out,I feel completely burned out from work and responsibilities.,4,5.4,1,10,10,guided_steps,-0.03,short_walk,write_journal,drink_water,watch_funny_video
181,lonely,I wish someone understood how I feel.,8,6.5,7,5,6,suggestions,0.81,drink_tea,positive_affirmation,digital_detox,deep_breathing
182,angry,I'm really upset and it's hard to calm down.,10,5.5,8,5,1,suggestions,0.39,stretch_body,drink_water,mindfulness_exercise,write_journal
183,anxious,I feel nervous about what might happen later today.,7,7.6,8,8,5,quotes,-0.55,digital_detox,positive_affirmation,stretch_body,deep_breathing
184,overthinking,My brain won't switch off from constant thinking.,2,6.2,1,4,8,light_humor,-0.91,drink_water,watch_funny_video,5_min_meditation,digital_detox
185,overthinking,I keep analyzing everything too much.,7,4.1,5,4,9,guided_steps,-0.36,nature_break,call_friend,gratitude_list,drink_water
186,anxious,I keep worrying about small things and can't focus.,7,6.0,9,9,6,guided_steps,-0.57,write_journal,nature_break,listen_music,5_min_meditation
187,overthinking,My mind keeps replaying the same thoughts again and again.,3,7.6,7,4,9,light_humor,0.01,deep_breathing,5_min_meditation,drink_tea,nature_break
188,sad,I feel emotionally drained and down.,4,6.6,10,3,2,guided_steps,-0.95,mindfulness_exercise,5_min_meditation,watch_funny_video,call_friend
189,sad,I feel emotionally drained and down.,8,4.8,10,10,6,quotes,-0.2,mindfulness_exercise,nature_break,stretch_body,deep_breathing
190,angry,I feel frustrated and irritated about what happened.,9,5.6,3,4,4,quotes,0.63,5_min_meditation,short_walk,digital_detox,mindfulness_exercise
191,angry,I feel tense and annoyed with everyone today.,1,7.1,5,3,6,quotes,-0.09,digital_detox,gratitude_list,mindfulness_exercise,deep_breathing
192,lonely,I feel isolated even when people are around.,2,7.2,9,2,5,light_humor,0.81,nature_break,5_min_meditation,digital_detox,positive_affirmation
193,lonely,I feel isolated even when people are around.,1,3.3,9,10,6,light_humor,0.53,short_walk,write_journal,drink_water,listen_music
194,anxious,I keep worrying about small things and can't focus.,5,5.6,2,10,8,quotes,-0.68,stretch_body,gratitude_list,drink_water,watch_funny_video
195,angry,I'm really upset and it's hard to calm down.,6,5.1,5,4,5,quick_exercises,0.89,listen_music,5_min_meditation,nature_break,positive_affirmation
196,lonely,I feel isolated even when people are around.,8,8.7,6,5,5,guided_steps,-0.04,deep_breathing,stretch_body,listen_music,digital_detox
197,burned_out,I feel completely burned out from work and responsibilities.,4,5.0,10,1,9,guided_steps,0.35,stretch_body,drink_tea,digital_detox,drink_water
198,lonely,I feel isolated even when people are around.,5,6.1,4,9,5,guided_steps,0.55,stretch_body,mindfulness_exercise,digital_detox,call_friend
