user_id,mood_selected,message_text,stress_level,sleep_hours,work_pressure,social_support,energy_level,preferred_relief,sentiment_score,task1,task2,task3,task4,ai_reply
73,burned_out,I feel exhausted and mentally drained.,6,4.5,1,2,7,light_humor,1.0,gratitude_list,drink_tea,listen_music,write_journal,"Your exhaustion is a signal, not a failure. It's time to pause and replenish your energy. Let's focus purely on gentle recovery today."
74,anxious,I keep worrying about small things and can't focus.,3,3.8,6,8,10,quick_exercises,-0.26,short_walk,drink_water,gratitude_list,positive_affirmation,"Your nervous system is working overtime right now. It's safe to slow down. I recommend these small, grounding exercises to help you feel secure."
75,sad,I can't seem to shake this sadness.,10,4.7,1,6,3,quotes,0.29,deep_breathing,mindfulness_exercise,digital_detox,short_walk,"You are seen, and your feelings matter. Let's not try to fix everything at once. Let's just focus on these tender, restorative actions instead."
76,burned_out,I can't focus anymore and everything feels tiring.,1,4.9,8,9,9,quick_exercises,0.67,digital_detox,deep_breathing,call_friend,write_journal,"You've been giving so much, and your well is running dry. Rest is not a reward; it is a necessity. Please take permission to recharge with these restorative steps."
77,burned_out,I have no energy left to deal with anything.,2,4.0,4,9,7,quotes,0.56,drink_water,positive_affirmation,digital_detox,drink_tea,You are allowed to step back. You are allowed to rest. Try to set boundaries around your peace today by engaging in these replenishing activities.
78,sad,I can't seem to shake this sadness.,8,3.5,9,1,4,light_humor,-0.81,mindfulness_exercise,drink_tea,stretch_body,short_walk,I'm so sorry you're feeling this weight today. It's okay to feel sad—you don't have to rush through it. Here are some gentle ways to care for yourself right now.
79,burned_out,I have no energy left to deal with anything.,9,8.7,10,6,2,quotes,0.81,digital_detox,stretch_body,gratitude_list,5_min_meditation,"You've been giving so much, and your well is running dry. Rest is not a reward; it is a necessity. Please take permission to recharge with these restorative steps."
80,overthinking,I can't stop thinking about past mistakes.,8,3.5,4,9,5,quick_exercises,0.57,positive_affirmation,5_min_meditation,write_journal,drink_tea,"When the 'what-ifs' take over, the best antidote is right here in the present moment. I've designed this plan to bring your focus back to the now."
81,stressed,I have too many things to finish today and I feel overwhelmed.,4,7.0,8,6,4,suggestions,-0.11,nature_break,digital_detox,deep_breathing,gratitude_list,"I hear you. The pressure you're feeling is valid, but you don't have to carry it all at once. Let's take a breath and look at these gentle steps together."
82,sad,I can't seem to shake this sadness.,1,5.1,7,8,8,light_humor,-0.31,stretch_body,deep_breathing,write_journal,short_walk,"Some days just require extra gentleness and self-compassion. I hold space for your sadness. Whenever you're ready, here are a few tiny steps that might bring a sliver of light."
83,anxious,I keep worrying about small things and can't focus.,2,8.8,1,5,5,guided_steps,0.65,drink_water,mindfulness_exercise,gratitude_list,write_journal,"I know the uncertainty feels heavy, but you are safe in this moment. Deep breaths. Here is a calming plan to ease the fluttering in your chest."
84,stressed,I keep thinking about everything I have to do and it's exhausting.,2,7.1,6,6,7,quick_exercises,-0.22,drink_water,nature_break,drink_tea,gratitude_list,"Your mind is racing, and that's exhausting. You deserve a moment of pure calm. Try these simple tasks to loosen the tension you're holding."
85,lonely,I wish someone understood how I feel.,6,7.3,9,10,9,quotes,0.87,nature_break,mindfulness_exercise,call_friend,5_min_meditation,"Your presence matters in this world. When the silence feels too loud, I hope these recommendations bring you a sense of warmth and companionship."
86,anxious,I keep worrying about small things and can't focus.,10,5.1,10,6,10,light_humor,-0.21,short_walk,drink_tea,nature_break,watch_funny_video,Anxiety can make everything feel urgent and loud. I'm right here with you. These steps are designed to gently ground you back into the present moment.
87,burned_out,I feel completely burned out from work and responsibilities.,1,8.2,6,3,5,suggestions,-0.58,drink_tea,stretch_body,nature_break,write_journal,"Your exhaustion is a signal, not a failure. It's time to pause and replenish your energy. Let's focus purely on gentle recovery today."
88,sad,I feel really low today and don't have motivation.,7,3.9,3,6,3,quotes,0.57,mindfulness_exercise,5_min_meditation,watch_funny_video,digital_detox,"You are seen, and your feelings matter. Let's not try to fix everything at once. Let's just focus on these tender, restorative actions instead."
89,angry,I feel frustrated and irritated about what happened.,1,5.2,6,6,3,suggestions,0.21,drink_water,digital_detox,short_walk,positive_affirmation,"It's completely valid that you feel frustrated about this. Rather than bottling it up, let's allow it to move through you carefully with these focused actions."
90,lonely,I feel isolated even when people are around.,2,7.6,8,6,1,light_humor,-0.02,mindfulness_exercise,positive_affirmation,call_friend,watch_funny_video,"Loneliness can ache so deeply. I hear your longing for connection. Let's gently bridge that gap with some loving, intentional activities today."
91,anxious,I feel tense and uneasy for no clear reason.,4,5.5,1,6,6,quotes,0.93,write_journal,mindfulness_exercise,positive_affirmation,stretch_body,"Your nervous system is working overtime right now. It's safe to slow down. I recommend these small, grounding exercises to help you feel secure."
92,lonely,I feel isolated even when people are around.,6,3.5,8,1,1,quick_exercises,0.6,drink_tea,call_friend,drink_water,positive_affirmation,"Loneliness can ache so deeply. I hear your longing for connection. Let's gently bridge that gap with some loving, intentional activities today."
93,anxious,I feel tense and uneasy for no clear reason.,1,5.0,8,6,2,suggestions,-0.89,stretch_body,drink_tea,write_journal,short_walk,"I know the uncertainty feels heavy, but you are safe in this moment. Deep breaths. Here is a calming plan to ease the fluttering in your chest."
94,anxious,My heart is racing and I can't calm down.,2,3.3,5,4,8,quick_exercises,-0.11,call_friend,positive_affirmation,drink_water,watch_funny_video,Anxiety can make everything feel urgent and loud. I'm right here with you. These steps are designed to gently ground you back into the present moment.
95,stressed,I keep thinking about everything I have to do and it's exhausting.,7,3.9,10,10,6,quotes,-0.31,watch_funny_video,mindfulness_exercise,stretch_body,gratitude_list,"I hear you. The pressure you're feeling is valid, but you don't have to carry it all at once. Let's take a breath and look at these gentle steps together."
96,stressed,I have too many things to finish today and I feel overwhelmed.,10,4.9,5,3,1,quotes,-0.5,deep_breathing,digital_detox,5_min_meditation,stretch_body,It's completely normal to feel overwhelmed when there's so much on your plate. I've put together a few things to help you find your footing right now.
97,lonely,I feel isolated even when people are around.,6,4.2,6,7,8,light_humor,-0.12,positive_affirmation,drink_tea,listen_music,watch_funny_video,"Your presence matters in this world. When the silence feels too loud, I hope these recommendations bring you a sense of warmth and companionship."
98,burned_out,I can't focus anymore and everything feels tiring.,10,8.2,6,1,10,guided_steps,0.59,gratitude_list,deep_breathing,5_min_meditation,call_friend,You are allowed to step back. You are allowed to rest. Try to set boundaries around your peace today by engaging in these replenishing activities.
99,stressed,My deadlines are piling up and I can't relax.,10,5.7,3,6,3,guided_steps,0.39,drink_tea,positive_affirmation,5_min_meditation,deep_breathing,"I hear you. The pressure you're feeling is valid, but you don't have to carry it all at once. Let's take a breath and look at these gentle steps together."
100,sad,I feel really low today and don't have motivation.,8,8.6,2,7,9,suggestions,0.95,stretch_body,drink_water,listen_music,watch_funny_video,I'm so sorry you're feeling this weight today. It's okay to feel sad—you don't have to rush through it. Here are some gentle ways to care for yourself right now.
101,anxious,I keep worrying about small things and can't focus.,6,3.7,4,5,4,quick_exercises,0.1,watch_funny_video,mindfulness_exercise,listen_music,positive_affirmation,"I know the uncertainty feels heavy, but you are safe in this moment. Deep breaths. Here is a calming plan to ease the fluttering in your chest."
102,overthinking,My brain won't switch off from constant thinking.,1,3.8,8,9,5,quick_exercises,0.92,stretch_body,nature_break,deep_breathing,write_journal,You've been carrying a heavy mental load. It's time to let your mind rest. Focus only on the step in front of you—I've laid them out for you here.
103,sad,I can't seem to shake this sadness.,5,5.9,3,1,9,quick_exercises,0.68,gratitude_list,drink_tea,nature_break,short_walk,I'm so sorry you're feeling this weight today. It's okay to feel sad—you don't have to rush through it. Here are some gentle ways to care for yourself right now.
104,anxious,I feel tense and uneasy for no clear reason.,5,4.9,9,4,7,light_humor,0.34,deep_breathing,listen_music,positive_affirmation,mindfulness_exercise,"I know the uncertainty feels heavy, but you are safe in this moment. Deep breaths. Here is a calming plan to ease the fluttering in your chest."
105,overthinking,I keep analyzing everything too much.,8,6.7,9,9,4,quotes,-0.04,digital_detox,listen_music,drink_water,deep_breathing,"When the 'what-ifs' take over, the best antidote is right here in the present moment. I've designed this plan to bring your focus back to the now."
106,anxious,I keep worrying about small things and can't focus.,2,5.3,7,4,4,light_humor,0.15,gratitude_list,deep_breathing,watch_funny_video,stretch_body,"I know the uncertainty feels heavy, but you are safe in this moment. Deep breaths. Here is a calming plan to ease the fluttering in your chest."
107,lonely,I feel isolated even when people are around.,4,5.0,6,8,10,suggestions,-0.56,5_min_meditation,listen_music,watch_funny_video,call_friend,"Loneliness can ache so deeply. I hear your longing for connection. Let's gently bridge that gap with some loving, intentional activities today."
108,stressed,I keep thinking about everything I have to do and it's exhausting.,10,7.5,2,1,7,guided_steps,-0.72,mindfulness_exercise,call_friend,watch_funny_video,stretch_body,"I hear you. The pressure you're feeling is valid, but you don't have to carry it all at once. Let's take a breath and look at these gentle steps together."
109,anxious,I keep worrying about small things and can't focus.,7,3.1,9,1,10,light_humor,0.74,call_friend,5_min_meditation,write_journal,nature_break,"Your nervous system is working overtime right now. It's safe to slow down. I recommend these small, grounding exercises to help you feel secure."
110,anxious,I feel nervous about what might happen later today.,10,8.3,4,9,4,quotes,0.78,stretch_body,drink_tea,watch_funny_video,positive_affirmation,"I know the uncertainty feels heavy, but you are safe in this moment. Deep breaths. Here is a calming plan to ease the fluttering in your chest."
111,overthinking,My mind keeps replaying the same thoughts again and again.,1,7.4,1,9,5,quotes,0.5,digital_detox,mindfulness_exercise,positive_affirmation,write_journal,"When the 'what-ifs' take over, the best antidote is right here in the present moment. I've designed this plan to bring your focus back to the now."
112,overthinking,I can't stop thinking about past mistakes.,2,4.5,7,3,2,suggestions,-0.84,call_friend,listen_music,digital_detox,watch_funny_video,You've been carrying a heavy mental load. It's time to let your mind rest. Focus only on the step in front of you—I've laid them out for you here.
113,lonely,I miss having meaningful conversations.,1,5.2,5,9,9,light_humor,-0.37,mindfulness_exercise,listen_music,deep_breathing,watch_funny_video,"Your presence matters in this world. When the silence feels too loud, I hope these recommendations bring you a sense of warmth and companionship."
114,anxious,I feel tense and uneasy for no clear reason.,5,5.7,5,4,6,light_humor,0.7,write_journal,listen_music,5_min_meditation,gratitude_list,"I know the uncertainty feels heavy, but you are safe in this moment. Deep breaths. Here is a calming plan to ease the fluttering in your chest."
115,overthinking,I can't stop thinking about past mistakes.,1,7.3,2,4,2,quotes,0.92,drink_water,digital_detox,short_walk,nature_break,"Your brain is running in circles trying to protect you, but you can put the thoughts down now. Let's redirect that energy into these simple, mindful actions."
116,angry,I feel frustrated and irritated about what happened.,8,5.2,8,5,10,suggestions,0.68,watch_funny_video,positive_affirmation,stretch_body,digital_detox,"Your anger is a protective force, and it's okay to feel it. But holding onto it can burn you. Let's channel that fire safely through these grounding exercises."
